carrier,flight,origin,dest,name
B6,1201,JFK,FLL,JetBlue Airways
DL,2285,LGA,MCO,Delta Air Lines Inc.
UA,377,EWR,BOS,United Air Lines Inc.
MQ,4309,JFK,IND,Envoy Air
AA,731,LGA,DFW,American Airlines Inc.
B6,2280,EWR,BOS,JetBlue Airways
9E,2932,JFK,RDU,Endeavor Air Inc.
AA,715,LGA,DFW,American Airlines Inc.
EV,3849,EWR,CVG,ExpressJet Airlines Inc.
B6,1639,LGA,RSW,JetBlue Airways
EV,3828,EWR,DTW,ExpressJet Airlines Inc.
DL,2047,LGA,ATL,Delta Air Lines Inc.
EV,4129,EWR,DCA,ExpressJet Airlines Inc.
US,1625,LGA,CLT,US Airways Inc.
VX,11,JFK,SFO,Virgin America
B6,127,EWR,MCO,JetBlue Airways
UA,1689,EWR,IAH,United Air Lines Inc.
MQ,4573,LGA,DTW,Envoy Air
DL,2319,LGA,MSP,Delta Air Lines Inc.
9E,4019,JFK,RIC,Endeavor Air Inc.
UA,389,JFK,SFO,United Air Lines Inc.
UA,725,EWR,ORD,United Air Lines Inc.
VX,251,JFK,LAS,Virgin America
AA,1151,LGA,DFW,American Airlines Inc.
B6,1295,JFK,AUS,JetBlue Airways
B6,1,JFK,FLL,JetBlue Airways
EV,4411,EWR,MEM,ExpressJet Airlines Inc.
EV,4950,EWR,ATL,ExpressJet Airlines Inc.
DL,402,JFK,BOS,Delta Air Lines Inc.
AA,145,JFK,MIA,American Airlines Inc.
DL,1485,LGA,MCO,Delta Air Lines Inc.
FL,850,LGA,MKE,AirTran Airways Corporation
EV,5716,JFK,IAD,ExpressJet Airlines Inc.
EV,5747,LGA,IAD,ExpressJet Airlines Inc.
WN,1,LGA,MDW,Southwest Airlines Co.
AA,2279,LGA,MIA,American Airlines Inc.
EV,5711,JFK,IAD,ExpressJet Airlines Inc.
DL,1819,LGA,MSP,Delta Air Lines Inc.
US,1433,LGA,CLT,US Airways Inc.
AA,791,LGA,DFW,American Airlines Inc.
B6,137,JFK,RSW,JetBlue Airways
FL,721,LGA,CAK,AirTran Airways Corporation
UA,1022,EWR,IAH,United Air Lines Inc.
UA,347,JFK,SFO,United Air Lines Inc.
B6,753,JFK,PBI,JetBlue Airways
UA,1109,EWR,MCO,United Air Lines Inc.
DL,1875,LGA,TPA,Delta Air Lines Inc.
US,2185,LGA,DCA,US Airways Inc.
DL,1854,LGA,FLL,Delta Air Lines Inc.
B6,135,JFK,RSW,JetBlue Airways
US,1965,EWR,CLT,US Airways Inc.
DL,2331,LGA,DTW,Delta Air Lines Inc.
B6,705,JFK,SJU,JetBlue Airways
EV,5048,LGA,RIC,ExpressJet Airlines Inc.
B6,135,JFK,PHX,JetBlue Airways
AA,371,LGA,ORD,American Airlines Inc.
AA,1871,LGA,MIA,American Airlines Inc.
EV,4120,EWR,ALB,ExpressJet Airlines Inc.
UA,1030,EWR,ORD,United Air Lines Inc.
MQ,3531,LGA,RDU,Envoy Air
EV,4191,EWR,BNA,ExpressJet Airlines Inc.
EV,5472,LGA,ORF,ExpressJet Airlines Inc.
UA,207,EWR,SFO,United Air Lines Inc.
AA,2279,LGA,MIA,American Airlines Inc.
DL,884,LGA,DEN,Delta Air Lines Inc.
MQ,3199,LGA,CLT,Envoy Air
EV,4580,EWR,MKE,ExpressJet Airlines Inc.
WN,1568,EWR,BWI,Southwest Airlines Co.
UA,1041,EWR,SFO,United Air Lines Inc.
9E,3384,JFK,DTW,Endeavor Air Inc.
B6,369,LGA,PBI,JetBlue Airways
EV,5273,LGA,PIT,ExpressJet Airlines Inc.
B6,377,LGA,FLL,JetBlue Airways
B6,65,JFK,ABQ,JetBlue Airways
UA,1627,EWR,PBI,United Air Lines Inc.
US,1117,EWR,CLT,US Airways Inc.
EV,4572,EWR,GSP,ExpressJet Airlines Inc.
F9,835,LGA,DEN,Frontier Airlines Inc.
US,450,JFK,PHX,US Airways Inc.
EV,5909,EWR,CLT,ExpressJet Airlines Inc.
DL,2019,LGA,MSP,Delta Air Lines Inc.
MQ,3535,JFK,CMH,Envoy Air
AA,443,JFK,MIA,American Airlines Inc.
WN,553,EWR,MDW,Southwest Airlines Co.
UA,67,EWR,ORD,United Air Lines Inc.
B6,917,JFK,ORD,JetBlue Airways
EV,5181,EWR,ATL,ExpressJet Airlines Inc.
UA,544,LGA,ORD,United Air Lines Inc.
DL,1565,JFK,SFO,Delta Air Lines Inc.
US,1751,EWR,CLT,US Airways Inc.
9E,3405,JFK,DCA,Endeavor Air Inc.
DL,1133,LGA,RSW,Delta Air Lines Inc.
MQ,3075,JFK,CVG,Envoy Air
B6,108,JFK,BUF,JetBlue Airways
B6,171,JFK,SMF,JetBlue Airways
US,2140,LGA,BOS,US Airways Inc.
B6,225,JFK,TPA,JetBlue Airways
B6,79,JFK,MCO,JetBlue Airways
AA,1925,LGA,MIA,American Airlines Inc.
UA,698,EWR,ORD,United Air Lines Inc.
EV,5790,EWR,DAY,ExpressJet Airlines Inc.
WN,3114,EWR,HOU,Southwest Airlines Co.
AA,883,EWR,DFW,American Airlines Inc.
DL,1765,JFK,SFO,Delta Air Lines Inc.
EV,5168,LGA,GSO,ExpressJet Airlines Inc.
B6,53,JFK,PBI,JetBlue Airways
UA,1424,EWR,ORD,United Air Lines Inc.
DL,127,JFK,LAX,Delta Air Lines Inc.
AA,1837,LGA,MIA,American Airlines Inc.
UA,1263,EWR,DEN,United Air Lines Inc.
B6,709,JFK,SJU,JetBlue Airways
9E,3512,LGA,IND,Endeavor Air Inc.
UA,477,EWR,BOS,United Air Lines Inc.
AA,1815,JFK,MCO,American Airlines Inc.
EV,4106,EWR,BDL,ExpressJet Airlines Inc.
AA,185,JFK,LAX,American Airlines Inc.
9E,3395,JFK,DCA,Endeavor Air Inc.
US,1429,LGA,CLT,US Airways Inc.
UA,1164,EWR,FLL,United Air Lines Inc.
US,2142,LGA,BOS,US Airways Inc.
B6,2602,JFK,BUF,JetBlue Airways
UA,1284,EWR,SFO,United Air Lines Inc.
EV,4131,EWR,RIC,ExpressJet Airlines Inc.
MQ,3823,JFK,DCA,Envoy Air
B6,629,JFK,HOU,JetBlue Airways
VX,187,EWR,SFO,Virgin America
US,2116,LGA,BOS,US Airways Inc.
B6,600,JFK,PWM,JetBlue Airways
B6,927,EWR,MCO,JetBlue Airways
UA,1682,EWR,FLL,United Air Lines Inc.
MQ,4569,LGA,RDU,Envoy Air
EV,4240,EWR,BUF,ExpressJet Airlines Inc.
DL,2452,LGA,DTW,Delta Air Lines Inc.
9E,3864,JFK,PHL,Endeavor Air Inc.
UA,1554,EWR,PDX,United Air Lines Inc.
EV,4671,EWR,RDU,ExpressJet Airlines Inc.
UA,385,EWR,IAH,United Air Lines Inc.
B6,377,LGA,FLL,JetBlue Airways
DL,2047,LGA,ATL,Delta Air Lines Inc.
EV,4691,EWR,DAY,ExpressJet Airlines Inc.
UA,1204,LGA,ORD,United Air Lines Inc.
WN,2603,LGA,BNA,Southwest Airlines Co.
AA,739,LGA,DFW,American Airlines Inc.
MQ,3386,JFK,DCA,Envoy Air
MQ,3669,LGA,ATL,Envoy Air
DL,2247,LGA,ATL,Delta Air Lines Inc.
F9,835,LGA,DEN,Frontier Airlines Inc.
EV,4681,EWR,IAD,ExpressJet Airlines Inc.
UA,309,EWR,ORD,United Air Lines Inc.
AA,133,JFK,LAX,American Airlines Inc.
YV,3771,LGA,IAD,Mesa Airlines Inc.
MQ,3748,EWR,ORD,Envoy Air
AA,341,LGA,ORD,American Airlines Inc.
9E,3393,JFK,DCA,Endeavor Air Inc.
AA,2223,LGA,STL,American Airlines Inc.
UA,1554,EWR,FLL,United Air Lines Inc.
AA,1139,LGA,DFW,American Airlines Inc.
VX,411,JFK,LAX,Virgin America
UA,1198,LGA,ORD,United Air Lines Inc.
AA,1121,LGA,DFW,American Airlines Inc.
EV,4294,EWR,SAV,ExpressJet Airlines Inc.
UA,1152,EWR,PDX,United Air Lines Inc.
UA,1110,EWR,LAX,United Air Lines Inc.
UA,700,LGA,IAH,United Air Lines Inc.
B6,147,JFK,RSW,JetBlue Airways
B6,1020,JFK,BOS,JetBlue Airways
EV,4360,EWR,PIT,ExpressJet Airlines Inc.
EV,4247,EWR,DTW,ExpressJet Airlines Inc.
DL,1006,JFK,BOS,Delta Air Lines Inc.
AA,119,EWR,LAX,American Airlines Inc.
WN,408,LGA,BNA,Southwest Airlines Co.
B6,615,JFK,JAX,JetBlue Airways
B6,529,EWR,MCO,JetBlue Airways
EV,4576,EWR,GRR,ExpressJet Airlines Inc.
MQ,3718,EWR,ORD,Envoy Air
UA,303,JFK,SFO,United Air Lines Inc.
US,1609,EWR,CLT,US Airways Inc.
UA,1482,EWR,PHX,United Air Lines Inc.
UA,1075,EWR,SNA,United Air Lines Inc.
EV,3813,EWR,BTV,ExpressJet Airlines Inc.
UA,497,EWR,PBI,United Air Lines Inc.
B6,643,JFK,SFO,JetBlue Airways
UA,738,EWR,SEA,United Air Lines Inc.
9E,3385,JFK,BOS,Endeavor Air Inc.
EV,4411,EWR,MEM,ExpressJet Airlines Inc.
MQ,4660,LGA,BNA,Envoy Air
EV,4529,EWR,RDU,ExpressJet Airlines Inc.
B6,225,JFK,TPA,JetBlue Airways
B6,115,JFK,MSY,JetBlue Airways
B6,543,EWR,PBI,JetBlue Airways
B6,66,JFK,BUF,JetBlue Airways
EV,4246,EWR,DTW,ExpressJet Airlines Inc.
MQ,4553,LGA,CLE,Envoy Air
EV,4659,EWR,CLT,ExpressJet Airlines Inc.
US,2171,LGA,DCA,US Airways Inc.
UA,389,JFK,SFO,United Air Lines Inc.
UA,1624,EWR,FLL,United Air Lines Inc.
EV,4381,EWR,PIT,ExpressJet Airlines Inc.
DL,1885,LGA,MCO,Delta Air Lines Inc.
AA,179,JFK,SFO,American Airlines Inc.
DL,1785,LGA,MCO,Delta Air Lines Inc.
B6,1117,LGA,TPA,JetBlue Airways
DL,1547,LGA,ATL,Delta Air Lines Inc.
UA,1128,LGA,IAH,United Air Lines Inc.
MQ,4323,JFK,ORF,Envoy Air
B6,5,EWR,FLL,JetBlue Airways
UA,482,EWR,FLL,United Air Lines Inc.
AA,1107,LGA,DFW,American Airlines Inc.
EV,4161,EWR,MSP,ExpressJet Airlines Inc.
US,2181,LGA,DCA,US Airways Inc.
B6,929,JFK,RSW,JetBlue Airways
US,604,EWR,PHX,US Airways Inc.
US,2187,LGA,DCA,US Airways Inc.
UA,1164,EWR,FLL,United Air Lines Inc.
UA,1651,EWR,SFO,United Air Lines Inc.
UA,378,LGA,ORD,United Air Lines Inc.
EV,4950,LGA,BNA,ExpressJet Airlines Inc.
EV,5149,LGA,RIC,ExpressJet Airlines Inc.
DL,1167,JFK,TPA,Delta Air Lines Inc.
AA,341,LGA,ORD,American Airlines Inc.
EV,5068,EWR,DTW,ExpressJet Airlines Inc.
B6,31,JFK,MCO,JetBlue Airways
9E,4127,JFK,IAD,Endeavor Air Inc.
B6,1119,JFK,CLT,JetBlue Airways
UA,226,EWR,IAH,United Air Lines Inc.
MQ,3230,JFK,DCA,Envoy Air
US,1895,EWR,CLT,US Airways Inc.
US,2134,LGA,BOS,US Airways Inc.
AA,753,LGA,DFW,American Airlines Inc.
B6,65,JFK,ABQ,JetBlue Airways
FL,348,LGA,ATL,AirTran Airways Corporation
US,1277,LGA,CLT,US Airways Inc.
EV,4125,EWR,GSO,ExpressJet Airlines Inc.
9E,3393,JFK,DCA,Endeavor Air Inc.
MQ,3675,LGA,BNA,Envoy Air
B6,301,JFK,FLL,JetBlue Airways
B6,2302,JFK,BUF,JetBlue Airways
US,2164,LGA,BOS,US Airways Inc.
EV,4294,EWR,SAV,ExpressJet Airlines Inc.
DL,2395,LGA,PBI,Delta Air Lines Inc.
MQ,3370,JFK,DCA,Envoy Air
EV,4140,EWR,ATL,ExpressJet Airlines Inc.
F9,835,LGA,DEN,Frontier Airlines Inc.
UA,73,EWR,SFO,United Air Lines Inc.
US,487,JFK,CLT,US Airways Inc.
DL,161,JFK,LAS,Delta Air Lines Inc.
UA,1071,EWR,BQN,United Air Lines Inc.
UA,327,EWR,IAH,United Air Lines Inc.
B6,703,JFK,SJU,JetBlue Airways
VX,413,JFK,LAX,Virgin America
UA,1627,EWR,PBI,United Air Lines Inc.
B6,1004,JFK,BOS,JetBlue Airways
AA,1838,JFK,BOS,American Airlines Inc.
AA,443,JFK,MIA,American Airlines Inc.
AA,19,JFK,LAX,American Airlines Inc.
UA,1472,EWR,DEN,United Air Lines Inc.
B6,981,JFK,FLL,JetBlue Airways
MQ,4588,LGA,MSP,Envoy Air
B6,153,JFK,PBI,JetBlue Airways
B6,600,JFK,PWM,JetBlue Airways
EV,4334,EWR,CMH,ExpressJet Airlines Inc.
B6,145,JFK,PBI,JetBlue Airways
EV,5079,LGA,MEM,ExpressJet Airlines Inc.
UA,1071,EWR,BQN,United Air Lines Inc.
MQ,4255,JFK,BNA,Envoy Air
EV,4334,EWR,CMH,ExpressJet Airlines Inc.
UA,509,LGA,DEN,United Air Lines Inc.
UA,1066,EWR,BOS,United Air Lines Inc.
US,2116,LGA,BOS,US Airways Inc.
EV,4191,EWR,BNA,ExpressJet Airlines Inc.
DL,1131,LGA,DTW,Delta Air Lines Inc.
DL,402,JFK,BOS,Delta Air Lines Inc.
EV,5806,EWR,OMA,ExpressJet Airlines Inc.
AA,177,JFK,SFO,American Airlines Inc.
EV,4152,EWR,ATL,ExpressJet Airlines Inc.
AA,785,LGA,DFW,American Airlines Inc.
UA,994,EWR,BOS,United Air Lines Inc.
B6,36,JFK,ROC,JetBlue Airways
B6,739,JFK,PSE,JetBlue Airways
AA,3,JFK,LAX,American Airlines Inc.
EV,4131,EWR,RIC,ExpressJet Airlines Inc.
AA,1895,EWR,MIA,American Airlines Inc.
DL,1109,LGA,TPA,Delta Air Lines Inc.
AA,361,LGA,ORD,American Airlines Inc.
MQ,3230,JFK,DCA,Envoy Air
DL,1443,JFK,SEA,Delta Air Lines Inc.
UA,579,EWR,CLE,United Air Lines Inc.
DL,2003,LGA,MIA,Delta Air Lines Inc.
MQ,3669,LGA,ATL,Envoy Air
DL,440,JFK,SEA,Delta Air Lines Inc.
US,1863,LGA,CLT,US Airways Inc.
AS,21,EWR,SEA,Alaska Airlines Inc.
AA,303,LGA,ORD,American Airlines Inc.
WN,356,LGA,DEN,Southwest Airlines Co.
EV,4364,EWR,MCI,ExpressJet Airlines Inc.
DL,2363,JFK,LAX,Delta Air Lines Inc.
US,679,JFK,PHX,US Airways Inc.
UA,243,LGA,IAH,United Air Lines Inc.
9E,3359,JFK,BOS,Endeavor Air Inc.
MQ,4525,LGA,XNA,Envoy Air
B6,116,JFK,SYR,JetBlue Airways
MQ,4674,LGA,CLE,Envoy Air
EV,4536,EWR,CVG,ExpressJet Airlines Inc.
B6,1634,JFK,BTV,JetBlue Airways
US,449,EWR,CLT,US Airways Inc.
B6,677,JFK,JAX,JetBlue Airways
AA,119,EWR,LAX,American Airlines Inc.
WN,1130,EWR,STL,Southwest Airlines Co.
WN,1759,LGA,BNA,Southwest Airlines Co.
DL,1685,LGA,MCO,Delta Air Lines Inc.
B6,1176,EWR,BOS,JetBlue Airways
MQ,3622,LGA,BNA,Envoy Air
UA,397,JFK,SFO,United Air Lines Inc.
DL,1485,LGA,MCO,Delta Air Lines Inc.
DL,1879,LGA,FLL,Delta Air Lines Inc.
B6,117,JFK,MSY,JetBlue Airways
EV,4224,EWR,MKE,ExpressJet Airlines Inc.
AA,59,JFK,SFO,American Airlines Inc.
9E,2936,JFK,IAD,Endeavor Air Inc.
MQ,4655,LGA,BNA,Envoy Air
DL,763,JFK,LAX,Delta Air Lines Inc.
MQ,4658,LGA,ATL,Envoy Air
UA,1110,EWR,BOS,United Air Lines Inc.
DL,2391,JFK,TPA,Delta Air Lines Inc.
AA,1507,EWR,DFW,American Airlines Inc.
EV,5078,EWR,DTW,ExpressJet Airlines Inc.
B6,59,JFK,TPA,JetBlue Airways
US,1501,EWR,CLT,US Airways Inc.
US,2193,LGA,DCA,US Airways Inc.
MQ,3340,LGA,DTW,Envoy Air
EV,4377,EWR,JAX,ExpressJet Airlines Inc.
EV,4586,EWR,SYR,ExpressJet Airlines Inc.
9E,3383,JFK,CVG,Endeavor Air Inc.
US,2152,LGA,BOS,US Airways Inc.
AA,353,LGA,ORD,American Airlines Inc.
UA,370,EWR,MCO,United Air Lines Inc.
WN,3935,LGA,MDW,Southwest Airlines Co.
AA,341,LGA,ORD,American Airlines Inc.
US,186,EWR,PHX,US Airways Inc.
B6,1505,JFK,ABQ,JetBlue Airways
MQ,4655,LGA,BNA,Envoy Air
B6,611,JFK,JAX,JetBlue Airways
US,196,JFK,PHX,US Airways Inc.
MQ,3660,LGA,BNA,Envoy Air
EV,4517,EWR,MSP,ExpressJet Airlines Inc.
AA,145,JFK,SAN,American Airlines Inc.
DL,2047,LGA,ATL,Delta Air Lines Inc.
9E,3881,EWR,CVG,Endeavor Air Inc.
DL,472,JFK,LAX,Delta Air Lines Inc.
EV,3847,EWR,IND,ExpressJet Airlines Inc.
B6,1117,LGA,TPA,JetBlue Airways
UA,397,JFK,SFO,United Air Lines Inc.
AA,1709,LGA,MIA,American Airlines Inc.
EV,5736,LGA,IAD,ExpressJet Airlines Inc.
9E,3527,LGA,RDU,Endeavor Air Inc.
US,1019,EWR,CLT,US Airways Inc.
EV,4695,EWR,MHT,ExpressJet Airlines Inc.
EV,4255,EWR,CHS,ExpressJet Airlines Inc.
MQ,4517,LGA,CRW,Envoy Air
UA,1299,EWR,RSW,United Air Lines Inc.
EV,5711,JFK,IAD,ExpressJet Airlines Inc.
DL,1779,LGA,FLL,Delta Air Lines Inc.
WN,254,LGA,MDW,Southwest Airlines Co.
AA,145,JFK,MIA,American Airlines Inc.
US,2177,LGA,DCA,US Airways Inc.
DL,2019,LGA,MSP,Delta Air Lines Inc.
EV,3824,EWR,STL,ExpressJet Airlines Inc.
WN,372,LGA,STL,Southwest Airlines Co.
UA,1519,EWR,STT,United Air Lines Inc.
DL,1942,EWR,ATL,Delta Air Lines Inc.
DL,1026,JFK,DTW,Delta Air Lines Inc.
9E,3638,LGA,IND,Endeavor Air Inc.
EV,4181,EWR,MCI,ExpressJet Airlines Inc.
DL,1779,LGA,FLL,Delta Air Lines Inc.
DL,1743,JFK,ATL,Delta Air Lines Inc.
EV,5370,EWR,MSP,ExpressJet Airlines Inc.
FL,1070,LGA,ATL,AirTran Airways Corporation
WN,190,LGA,STL,Southwest Airlines Co.
MQ,3611,EWR,ORD,Envoy Air
UA,693,LGA,ORD,United Air Lines Inc.
WN,465,LGA,MKE,Southwest Airlines Co.
9E,3523,JFK,ORD,Endeavor Air Inc.
DL,847,LGA,ATL,Delta Air Lines Inc.
MQ,4582,LGA,CLT,Envoy Air
9E,3395,JFK,DCA,Endeavor Air Inc.
YV,2885,LGA,CLT,Mesa Airlines Inc.
EV,4911,EWR,DTW,ExpressJet Airlines Inc.
US,2195,LGA,DCA,US Airways Inc.
B6,65,JFK,TPA,JetBlue Airways
UA,374,EWR,RSW,United Air Lines Inc.
UA,1144,EWR,MCO,United Air Lines Inc.
UA,1289,EWR,LAS,United Air Lines Inc.
EV,4085,EWR,OMA,ExpressJet Airlines Inc.
UA,260,EWR,IAH,United Air Lines Inc.
WN,1920,LGA,BNA,Southwest Airlines Co.
EV,4552,EWR,GSO,ExpressJet Airlines Inc.
B6,885,JFK,RDU,JetBlue Airways
B6,581,JFK,HOU,JetBlue Airways
UA,1626,EWR,SAN,United Air Lines Inc.
WN,482,EWR,DEN,Southwest Airlines Co.
DL,1879,LGA,FLL,Delta Air Lines Inc.
UA,1223,EWR,LAX,United Air Lines Inc.
VX,193,EWR,SFO,Virgin America
EV,4576,EWR,GRR,ExpressJet Airlines Inc.
AA,1499,JFK,MIA,American Airlines Inc.
WN,332,EWR,DEN,Southwest Airlines Co.
UA,291,EWR,AUS,United Air Lines Inc.
DL,863,JFK,LAX,Delta Air Lines Inc.
B6,2680,EWR,BOS,JetBlue Airways
UA,554,EWR,FLL,United Air Lines Inc.
9E,3540,JFK,MSP,Endeavor Air Inc.
DL,1903,LGA,SRQ,Delta Air Lines Inc.
EV,4509,EWR,MSY,ExpressJet Airlines Inc.
US,894,LGA,CLT,US Airways Inc.
B6,128,JFK,BTV,JetBlue Airways
UA,1275,EWR,LAX,United Air Lines Inc.
DL,1043,JFK,SEA,Delta Air Lines Inc.
UA,1555,EWR,SAN,United Air Lines Inc.
EV,5675,EWR,CMH,ExpressJet Airlines Inc.
UA,1454,LGA,IAH,United Air Lines Inc.
9E,3508,LGA,JAX,Endeavor Air Inc.
DL,1942,EWR,ATL,Delta Air Lines Inc.
DL,2231,LGA,DTW,Delta Air Lines Inc.
UA,575,EWR,IAH,United Air Lines Inc.
EV,4434,EWR,MHT,ExpressJet Airlines Inc.
B6,108,JFK,BUF,JetBlue Airways
DL,2343,EWR,ATL,Delta Air Lines Inc.
DL,831,LGA,DTW,Delta Air Lines Inc.
MQ,3669,LGA,ATL,Envoy Air
UA,773,LGA,ORD,United Air Lines Inc.
EV,4171,EWR,MSN,ExpressJet Airlines Inc.
US,2175,LGA,DCA,US Airways Inc.
UA,1439,EWR,LAX,United Air Lines Inc.
WN,2431,LGA,MDW,Southwest Airlines Co.
EV,4689,EWR,MCI,ExpressJet Airlines Inc.
B6,453,JFK,PBI,JetBlue Airways
B6,130,JFK,BUF,JetBlue Airways
FL,348,LGA,ATL,AirTran Airways Corporation
9E,2937,JFK,IAD,Endeavor Air Inc.
EV,3846,EWR,ROC,ExpressJet Airlines Inc.
DL,485,EWR,ATL,Delta Air Lines Inc.
UA,1597,EWR,EGE,United Air Lines Inc.
MQ,4555,LGA,CMH,Envoy Air
EV,5432,LGA,BNA,ExpressJet Airlines Inc.
DL,1006,JFK,BOS,Delta Air Lines Inc.
EV,4368,EWR,DAY,ExpressJet Airlines Inc.
UA,533,EWR,ORD,United Air Lines Inc.
MQ,4661,LGA,ATL,Envoy Air
UA,1564,EWR,SFO,United Air Lines Inc.
B6,281,JFK,HOU,JetBlue Airways
AA,1589,EWR,DFW,American Airlines Inc.
WN,2166,EWR,AUS,Southwest Airlines Co.
EV,3852,EWR,DTW,ExpressJet Airlines Inc.
UA,407,EWR,PHX,United Air Lines Inc.
WN,3135,LGA,MKE,Southwest Airlines Co.
B6,1318,JFK,BOS,JetBlue Airways
UA,265,EWR,CLE,United Air Lines Inc.
DL,1529,JFK,LAS,Delta Air Lines Inc.
VX,23,JFK,SFO,Virgin America
MQ,4521,LGA,RDU,Envoy Air
